ticket_id,device_type,error_code,wait_time_minutes,reported_severity,reopened_count,resolution_notes_length,response_tier
TCK-0081,printer,E10,17.0,medium,0,86,log_only
TCK-0130,laptop,E52,21.7,medium,1,5,assign_technician
TCK-0004,projector,,33.4,high,0,15,assign_technician
TCK-0206,projector,E10,15.2,medium,0,50,log_only
TCK-0149,projector,E10,32.6,high,2,32,escalate_now
TCK-0191,projector,E10,34.8,medium,1,53,assign_technician
TCK-0095,desktop,E21,38.1,low,1,28,log_only
TCK-0089,laptop,E10,19.7,medium,0,22,assign_technician
TCK-0121,laptop,E10,23.3,low,0,25,log_only
TCK-0051,network,E33,1.0,low,1,45,log_only
TCK-0096,desktop,,28.3,medium,0,128,log_only
TCK-0083,network,E21,39.5,medium,1,52,assign_technician
TCK-0025,laptop,E47,26.5,low,2,126,assign_technician
TCK-0180,projector,E10,35.0,low,0,58,log_only
TCK-0082,printer,E52,34.8,low,1,72,log_only
TCK-0023,desktop,E21,41.4,high,0,44,assign_technician
TCK-0175,desktop,E33,56.7,medium,1,88,escalate_now
TCK-0195,projector,E10,18.3,low,1,91,log_only
TCK-0012,laptop,E52,18.8,medium,0,114,assign_technician
TCK-0122,laptop,E33,2.1,medium,2,110,assign_technician
TCK-0003,desktop,E21,24.7,low,0,133,log_only
TCK-0127,laptop,E21,4.7,high,1,97,log_only
TCK-0161,desktop,E52,38.5,medium,0,147,assign_technician
TCK-0167,laptop,E47,21.7,high,0,91,log_only
TCK-0146,desktop,E21,22.7,low,0,47,log_only
TCK-0061,laptop,E33,28.0,medium,0,83,assign_technician
TCK-0085,printer,E33,19.0,medium,0,186,assign_technician
TCK-0204,projector,E33,46.6,medium,0,89,assign_technician
TCK-0123,printer,E33,20.0,low,1,133,assign_technician
TCK-0110,printer,E33,17.5,high,0,100,assign_technician
TCK-0079,network,E10,23.3,low,0,83,log_only
TCK-0109,printer,E47,10.8,high,0,30,assign_technician
TCK-0008,desktop,E47,24.7,low,0,41,log_only
TCK-0100,desktop,E52,1.0,medium,2,105,assign_technician
TCK-0129,desktop,E21,3.9,,1,85,assign_technician
TCK-0066,laptop,E10,36.6,low,0,94,log_only
TCK-0009,desktop,E21,1.0,high,0,108,log_only
TCK-0075,printer,E33,27.6,high,0,100,assign_technician
TCK-0028,printer,E33,8.9,low,0,109,log_only
TCK-0183,desktop,E52,20.2,medium,0,108,assign_technician
TCK-0102,projector,,6.8,low,2,63,log_only
TCK-0217,network,E10,41.1,medium,0,109,log_only
TCK-0058,printer,E47,18.8,medium,0,107,log_only
TCK-0169,desktop,E10,45.7,medium,0,11,assign_technician
TCK-0144,laptop,E47,37.4,low,1,47,escalate_now
TCK-0209,laptop,E21,20.3,low,0,72,log_only
TCK-0047,laptop,E33,21.1,medium,0,79,log_only
TCK-0238,projector,E10,13.3,low,0,144,log_only
TCK-0158,network,E33,23.7,low,0,79,log_only
TCK-0067,desktop,E47,21.7,high,0,93,assign_technician
TCK-0181,laptop,,24.0,low,1,9,escalate_now
TCK-0210,printer,E10,16.0,high,0,24,assign_technician
TCK-0078,printer,E21,5.4,medium,0,69,log_only
TCK-0097,laptop,E10,25.2,medium,0,139,assign_technician
TCK-0014,laptop,E21,37.9,medium,1,78,assign_technician
TCK-0098,laptop,E21,9.3,low,1,121,log_only
TCK-0010,desktop,E33,2.6,medium,0,56,log_only
TCK-0019,laptop,E47,13.5,medium,0,75,log_only
TCK-0199,laptop,E10,14.9,medium,0,30,log_only
TCK-0228,projector,E10,22.9,medium,2,79,assign_technician
TCK-0141,desktop,E47,39.8,medium,0,53,assign_technician
TCK-0032,projector,E52,17.9,low,0,59,log_only
TCK-0116,laptop,E52,48.3,medium,0,69,assign_technician
TCK-0071,network,,29.9,low,0,60,log_only
TCK-0226,laptop,E47,34.3,medium,2,50,assign_technician
TCK-0222,laptop,E47,10.2,low,2,12,log_only
TCK-0015,desktop,E21,18.0,low,3,129,assign_technician
TCK-0041,desktop,E47,37.6,low,0,35,assign_technician
TCK-0046,printer,,10.9,low,0,63,assign_technician
TCK-0223,printer,E47,34.4,medium,0,59,assign_technician
TCK-0033,laptop,E33,37.5,medium,0,78,assign_technician
TCK-0142,projector,E21,13.2,low,0,23,log_only
TCK-0179,laptop,E10,38.1,medium,0,99,log_only
TCK-0155,projector,E10,38.0,medium,0,125,log_only
TCK-0029,projector,E47,31.1,low,0,124,assign_technician
TCK-0064,projector,E21,48.8,medium,0,16,assign_technician
TCK-0115,laptop,E47,38.5,medium,0,80,assign_technician
TCK-0224,laptop,E10,15.0,medium,1,55,log_only
TCK-0016,desktop,E52,10.2,low,2,106,log_only
TCK-0126,laptop,E21,7.2,medium,0,137,log_only
TCK-0059,laptop,E10,12.5,,2,105,log_only
TCK-0185,desktop,E10,26.8,medium,0,94,assign_technician
TCK-0037,desktop,E47,27.3,medium,0,54,assign_technician
TCK-0112,desktop,E52,13.5,medium,0,57,assign_technician
TCK-0203,printer,E47,1.0,low,0,33,log_only
TCK-0215,laptop,E33,1.0,low,1,101,assign_technician
TCK-0052,laptop,E47,38.1,medium,2,97,escalate_now
TCK-0200,printer,E10,17.5,medium,1,108,log_only
TCK-0166,laptop,E10,23.0,medium,0,49,log_only
TCK-0091,projector,E47,23.1,low,0,26,log_only
TCK-0086,laptop,E10,23.6,medium,1,85,log_only
TCK-0162,printer,E21,8.7,medium,1,113,log_only
TCK-0216,desktop,E33,32.4,high,4,90,escalate_now
TCK-0234,desktop,E47,41.0,medium,0,53,assign_technician
TCK-0092,printer,E47,37.4,medium,1,43,escalate_now
TCK-0140,desktop,E52,7.2,medium,0,100,assign_technician
TCK-0159,laptop,E52,34.9,low,0,71,assign_technician
TCK-0196,network,E33,26.2,medium,0,42,assign_technician
TCK-0165,network,E10,1.0,low,0,96,log_only
TCK-0038,desktop,E21,11.7,low,2,32,log_only
TCK-0171,printer,E21,13.6,high,1,5,log_only
TCK-0117,printer,E33,18.5,medium,2,74,escalate_now
TCK-0178,printer,E21,29.3,high,0,104,escalate_now
TCK-0202,desktop,E21,18.9,low,0,16,log_only
TCK-0135,desktop,E33,1.0,medium,0,72,log_only
TCK-0050,laptop,E21,1.0,medium,0,89,log_only
TCK-0134,desktop,E52,23.8,low,0,67,log_only
TCK-0006,desktop,E10,31.2,low,0,77,log_only
TCK-0018,projector,E10,7.1,medium,0,114,log_only
TCK-0114,laptop,E21,13.4,high,0,118,log_only
TCK-0103,desktop,E10,14.4,low,0,109,log_only
TCK-0207,laptop,E52,36.7,medium,1,64,escalate_now
TCK-0148,laptop,E52,12.6,low,0,25,assign_technician
TCK-0107,printer,E21,22.7,medium,0,71,assign_technician
TCK-0163,network,E10,3.0,,1,121,log_only
TCK-0201,laptop,E10,33.1,low,0,140,log_only
TCK-0105,desktop,E52,53.5,medium,0,75,escalate_now
TCK-0214,desktop,E52,4.3,medium,0,125,log_only
TCK-0154,projector,E52,10.1,medium,0,83,log_only
TCK-0099,laptop,E21,39.0,medium,1,28,assign_technician
TCK-0087,laptop,E33,20.0,medium,0,77,assign_technician
TCK-0063,printer,E10,50.1,low,0,158,assign_technician
TCK-0065,network,E10,1.0,low,1,78,log_only
TCK-0027,laptop,E10,21.2,low,0,51,log_only
TCK-0133,projector,E47,25.4,medium,0,82,log_only
TCK-0042,desktop,E47,38.5,low,2,68,assign_technician
TCK-0106,projector,E21,13.7,medium,0,44,assign_technician
TCK-0053,projector,E21,26.1,low,0,122,log_only
TCK-0240,laptop,E33,27.9,low,0,89,escalate_now
TCK-0211,laptop,E47,42.0,medium,1,23,escalate_now
TCK-0118,printer,E33,19.6,low,0,42,log_only
TCK-0151,laptop,E21,24.2,low,1,108,log_only
TCK-0030,projector,E10,46.5,high,0,50,assign_technician
TCK-0080,laptop,E33,18.7,low,0,91,log_only
TCK-0132,laptop,E21,32.7,high,0,50,assign_technician
TCK-0040,laptop,E10,25.8,,2,63,assign_technician
TCK-0139,printer,E10,49.2,medium,2,95,assign_technician
TCK-0055,desktop,E33,18.9,low,1,65,assign_technician
TCK-0044,printer,E33,38.1,medium,1,97,assign_technician
TCK-0170,laptop,E33,19.7,high,3,122,escalate_now
TCK-0049,printer,E47,14.2,low,0,97,log_only
TCK-0205,desktop,E33,40.2,low,1,61,assign_technician
TCK-0060,printer,E10,30.5,low,1,89,log_only
TCK-0054,laptop,E21,44.2,high,0,52,assign_technician
TCK-0021,projector,E21,14.4,high,0,31,assign_technician
TCK-0125,printer,E33,8.4,low,0,92,log_only
TCK-0231,network,E10,41.0,low,1,60,assign_technician
TCK-0227,laptop,E21,20.8,high,1,102,assign_technician
TCK-0157,laptop,E47,32.0,medium,0,53,assign_technician
TCK-0077,laptop,E52,15.4,high,0,66,assign_technician
TCK-0239,printer,E10,8.5,low,0,64,log_only
TCK-0108,laptop,E33,4.3,medium,2,75,assign_technician
TCK-0188,desktop,E33,27.0,medium,0,81,assign_technician
TCK-0013,laptop,E47,11.5,low,1,141,assign_technician
TCK-0017,printer,E21,8.4,low,1,100,log_only
TCK-0048,desktop,E33,46.7,low,4,150,escalate_now
TCK-0174,desktop,E10,30.6,medium,1,116,assign_technician
TCK-0120,network,E10,11.4,medium,0,29,log_only
TCK-0022,laptop,E10,42.2,medium,0,113,assign_technician
TCK-0147,desktop,E33,11.1,low,0,119,log_only
TCK-0194,printer,E10,1.0,low,1,130,log_only
TCK-0131,laptop,E33,20.5,low,1,65,log_only
TCK-0236,laptop,E21,10.2,low,1,79,log_only
TCK-0220,printer,E33,27.2,medium,0,86,assign_technician
TCK-0074,desktop,,15.1,medium,0,53,log_only
TCK-0031,projector,E33,26.6,low,1,95,assign_technician
TCK-0187,projector,E10,,medium,0,75,assign_technician
TCK-0034,printer,E47,28.8,low,1,45,log_only
TCK-0172,desktop,E52,8.7,high,1,113,escalate_now
TCK-0198,printer,E47,3.1,low,2,145,log_only
TCK-0156,laptop,E10,6.1,low,0,103,log_only
TCK-0213,projector,E21,25.5,medium,1,66,assign_technician
TCK-0124,printer,E10,21.4,high,1,71,assign_technician
TCK-0237,projector,E10,55.3,low,2,26,log_only
TCK-0164,laptop,E47,14.2,low,0,68,log_only
TCK-0101,network,E52,20.4,medium,0,46,assign_technician
TCK-0150,laptop,E10,21.6,medium,0,80,log_only
TCK-0232,printer,E21,52.8,high,0,85,escalate_now
TCK-0235,network,E21,40.6,low,1,65,log_only
TCK-0225,laptop,E52,43.1,high,1,5,escalate_now
TCK-0062,laptop,E21,52.5,medium,0,96,assign_technician
TCK-0036,projector,E33,30.7,medium,1,75,assign_technician
TCK-0011,network,E47,21.2,low,0,65,log_only
TCK-0230,laptop,E21,1.9,low,2,47,log_only
TCK-0072,projector,E21,24.5,medium,2,72,assign_technician
TCK-0233,network,E10,30.9,medium,2,138,assign_technician
TCK-0218,network,E47,13.9,low,1,149,log_only
TCK-0094,projector,E47,39.3,low,0,67,assign_technician
TCK-0160,laptop,E21,1.0,low,1,86,log_only
TCK-0119,laptop,E21,14.5,high,0,110,assign_technician
TCK-0145,printer,E21,,high,1,162,assign_technician
TCK-0002,desktop,E10,36.6,low,0,191,log_only
TCK-0221,desktop,E33,14.3,high,0,66,log_only
TCK-0084,desktop,E21,13.6,high,0,62,assign_technician
TCK-0229,laptop,E47,29.2,low,1,59,assign_technician
TCK-0088,laptop,,30.6,medium,1,31,log_only
TCK-0138,printer,E47,14.5,high,1,74,escalate_now
TCK-0005,laptop,E21,12.5,medium,1,66,assign_technician
TCK-0039,network,E52,14.8,medium,1,69,log_only
TCK-0208,desktop,E33,14.5,low,0,96,log_only
TCK-0035,laptop,E10,1.0,low,1,165,log_only
